;year;Livres audio;Livres audio_prop;Classique;Classique_prop;Blues;Blues_prop;Reggae;Reggae_prop;Musiques de films;Musiques de films_prop;Chicago blues;Chicago blues_prop;Spiritualité & religion;Spiritualité & religion_prop;Soul vieille école;Soul vieille école_prop;Metal;Metal_prop;Rock Indé/Pop Rock;Rock Indé/Pop Rock_prop;Comédie;Comédie_prop;Pop Indé;Pop Indé_prop;Country;Country_prop;Trance;Trance_prop;Musique brésilienne;Musique brésilienne_prop;Folk;Folk_prop;Jeunesse;Jeunesse_prop;Chill Out/Trip-Hop/Lounge;Chill Out/Trip-Hop/Lounge_prop;Dirty South;Dirty South_prop;R&B contemporain;R&B contemporain_prop;East Coast;East Coast_prop;Pop indé/Folk;Pop indé/Folk_prop;Variété Internationale;Variété Internationale_prop;Rock & Roll/Rockabilly;Rock & Roll/Rockabilly_prop;Soul & Funk;Soul & Funk_prop;Jazz instrumental;Jazz instrumental_prop;Musique asiatique;Musique asiatique_prop;Alternative;Alternative_prop;Pop internationale;Pop internationale_prop;Rock;Rock_prop;Pop;Pop_prop;Singer & Songwriter;Singer & Songwriter_prop;Bandes originales;Bandes originales_prop;Rock indé;Rock indé_prop;Soul contemporaine;Soul contemporaine_prop;Dub;Dub_prop;Electro;Electro_prop;Musiques de jeux vidéo;Musiques de jeux vidéo_prop;Rap français;Rap français_prop;Films/Jeux vidéo;Films/Jeux vidéo_prop;BO TV;BO TV_prop;Electro Pop/Electro Rock;Electro Pop/Electro Rock_prop;Dancefloor;Dancefloor_prop;Hard Rock;Hard Rock_prop;Dancehall/Ragga;Dancehall/Ragga_prop;Old School;Old School_prop;Soul;Soul_prop;Rap/Hip Hop;Rap/Hip Hop_prop;Chanson française;Chanson française_prop;Musique africaine;Musique africaine_prop;Rock français;Rock français_prop;Jazz;Jazz_prop;Comédies musicales;Comédies musicales_prop;Ska;Ska_prop;Disco;Disco_prop;Bolero;Bolero_prop;Latino;Latino_prop;Blues électrique;Blues électrique_prop;Sports;Sports_prop;R&B;R&B_prop;R&B vieille école;R&B vieille école_prop;Jazz vocal;Jazz vocal_prop;Techno/House;Techno/House_prop;Dance;Dance_prop
0;1959.0;0.0;0.0;30.0;2.2;16.0;1.2;0.0;0.0;15.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.1;0.0;0.0;2.0;0.1;0.0;0.0;77.0;5.7;0.0;0.0;0.0;0.0;10.0;0.7;5.0;0.4;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.2;0.0;0.0;83.0;6.2;6.0;0.4;0.0;0.0;0.0;0.0;1.0;0.1;6.0;0.4;299.0;22.2;464.0;34.5;4.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;1.6;0.0;0.0;0.0;0.0;14.0;1.0;3.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65.0;4.8;3.0;0.2;1.0;0.1;0.0;0.0;0.0;0.0;71.0;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;2.5
1;1960.0;2.0;0.1;24.0;1.8;24.0;1.8;0.0;0.0;28.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.3;0.0;0.0;79.0;5.8;0.0;0.0;0.0;0.0;13.0;1.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.0;6.1;21.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.4;236.0;17.3;467.0;34.3;10.0;0.7;2.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;18.0;1.3;0.0;0.0;0.0;0.0;31.0;2.3;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.0;5.7;0.0;0.0;2.0;0.1;2.0;0.1;0.0;0.0;66.0;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;136.0;10.0;1.0;0.1;0.0;0.0;0.0;0.0;27.0;2.0
2;1961.0;1.0;0.1;25.0;1.7;47.0;3.2;2.0;0.1;20.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;1.0;0.1;82.0;5.6;0.0;0.0;0.0;0.0;9.0;0.6;2.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;3.7;31.0;2.1;0.0;0.0;0.0;0.0;3.0;0.2;1.0;0.1;277.0;19.1;445.0;30.6;8.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;1.9;0.0;0.0;0.0;0.0;21.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;169.0;11.6;6.0;0.4;2.0;0.1;0.0;0.0;56.0;3.9
3;1962.0;2.0;0.1;22.0;1.6;32.0;2.3;0.0;0.0;12.0;0.9;0.0;0.0;0.0;0.0;3.0;0.2;0.0;0.0;0.0;0.0;4.0;0.3;0.0;0.0;81.0;5.8;0.0;0.0;0.0;0.0;18.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;45.0;3.2;9.0;0.6;6.0;0.4;0.0;0.0;1.0;0.1;8.0;0.6;244.0;17.5;511.0;36.6;8.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;2.0;0.0;0.0;0.0;0.0;16.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.1;0.0;0.0;0.0;0.0;75.0;5.4;5.0;0.4;1.0;0.1;0.0;0.0;0.0;0.0;92.0;6.6;0.0;0.0;0.0;0.0;3.0;0.2;0.0;0.0;2.0;0.1;0.0;0.0;0.0;0.0;122.0;8.7;3.0;0.2;0.0;0.0;0.0;0.0;41.0;2.9
4;1963.0;2.0;0.1;11.0;0.8;26.0;1.9;0.0;0.0;13.0;0.9;2.0;0.1;0.0;0.0;4.0;0.3;0.0;0.0;0.0;0.0;4.0;0.3;0.0;0.0;56.0;4.1;0.0;0.0;0.0;0.0;15.0;1.1;6.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;50.0;3.7;28.0;2.0;0.0;0.0;0.0;0.0;3.0;0.2;12.0;0.9;250.0;18.3;490.0;35.8;9.0;0.7;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;22.0;1.6;0.0;0.0;0.0;0.0;17.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;6.5;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;61.0;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.2;4.0;0.3;0.0;0.0;166.0;12.1;2.0;0.1;0.0;0.0;0.0;0.0;21.0;1.5
5;1964.0;6.0;0.4;15.0;1.1;15.0;1.1;4.0;0.3;11.0;0.8;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;3.9;0.0;0.0;0.0;0.0;9.0;0.7;2.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;2.8;28.0;2.1;0.0;0.0;0.0;0.0;12.0;0.9;11.0;0.8;307.0;23.0;441.0;33.0;13.0;1.0;0.0;0.0;12.0;0.9;0.0;0.0;0.0;0.0;17.0;1.3;0.0;0.0;0.0;0.0;11.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.3;1.0;0.1;0.0;0.0;177.0;13.3;0.0;0.0;0.0;0.0;0.0;0.0;25.0;1.9
6;1965.0;0.0;0.0;5.0;0.4;19.0;1.5;2.0;0.2;13.0;1.0;0.0;0.0;0.0;0.0;10.0;0.8;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;67.0;5.1;0.0;0.0;0.0;0.0;17.0;1.3;3.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.3;1.0;0.1;13.0;1.0;20.0;1.5;0.0;0.0;0.0;0.0;6.0;0.5;2.0;0.2;303.0;23.3;485.0;37.2;6.0;0.5;0.0;0.0;6.0;0.5;2.0;0.2;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;106.0;8.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;1.9;0.0;0.0;0.0;0.0;3.0;0.2;0.0;0.0;2.0;0.2;0.0;0.0;0.0;0.0;165.0;12.7;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.2
7;1966.0;8.0;0.6;5.0;0.4;16.0;1.2;0.0;0.0;10.0;0.7;0.0;0.0;0.0;0.0;4.0;0.3;0.0;0.0;3.0;0.2;5.0;0.4;0.0;0.0;48.0;3.6;0.0;0.0;0.0;0.0;6.0;0.4;4.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.2;0.0;0.0;10.0;0.7;31.0;2.3;0.0;0.0;0.0;0.0;22.0;1.6;2.0;0.1;299.0;22.4;513.0;38.5;1.0;0.1;0.0;0.0;18.0;1.3;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;15.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;78.0;5.8;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;55.0;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.3;0.0;0.0;0.0;0.0;168.0;12.6;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.2
8;1967.0;0.0;0.0;2.0;0.2;7.0;0.5;1.0;0.1;9.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1;1.0;0.1;2.0;0.2;36.0;2.8;0.0;0.0;0.0;0.0;5.0;0.4;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.7;0.0;0.0;8.0;0.6;32.0;2.4;0.0;0.0;0.0;0.0;34.0;2.6;1.0;0.1;273.0;20.9;493.0;37.7;7.0;0.5;0.0;0.0;28.0;2.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.0;7.7;5.0;0.4;0.0;0.0;3.0;0.2;0.0;0.0;40.0;3.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.5;0.0;0.0;0.0;0.0;191.0;14.6;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1
9;1968.0;2.0;0.2;3.0;0.2;19.0;1.5;0.0;0.0;16.0;1.3;0.0;0.0;0.0;0.0;2.0;0.2;0.0;0.0;2.0;0.2;1.0;0.1;0.0;0.0;56.0;4.5;0.0;0.0;0.0;0.0;14.0;1.1;4.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.4;2.0;0.2;3.0;0.2;31.0;2.5;0.0;0.0;0.0;0.0;21.0;1.7;4.0;0.3;245.0;19.5;441.0;35.1;2.0;0.2;0.0;0.0;14.0;1.1;3.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.2;0.0;0.0;0.0;0.0;88.0;7.0;1.0;0.1;1.0;0.1;1.0;0.1;0.0;0.0;31.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.6;0.0;0.0;0.0;0.0;215.0;17.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
