;year;duration;Rock Indé/Pop Rock;Rock Indé/Pop Rock_prop;Musique asiatique;Musique asiatique_prop;Rap/Hip Hop;Rap/Hip Hop_prop;Pop Indé;Pop Indé_prop;Old School;Old School_prop;Rap français;Rap français_prop;Metal;Metal_prop;Latino;Latino_prop;Soul & Funk;Soul & Funk_prop;Musique africaine;Musique africaine_prop;Techno/House;Techno/House_prop;Jazz vocal;Jazz vocal_prop;Rock;Rock_prop;R&B vieille école;R&B vieille école_prop;Ska;Ska_prop;Trance;Trance_prop;Musique brésilienne;Musique brésilienne_prop;Comédie;Comédie_prop;Rock & Roll/Rockabilly;Rock & Roll/Rockabilly_prop;R&B;R&B_prop;Singer & Songwriter;Singer & Songwriter_prop;Blues électrique;Blues électrique_prop;Livres audio;Livres audio_prop;Reggae;Reggae_prop;Chicago blues;Chicago blues_prop;Bandes originales;Bandes originales_prop;Dirty South;Dirty South_prop;Electro Pop/Electro Rock;Electro Pop/Electro Rock_prop;Pop indé/Folk;Pop indé/Folk_prop;Sports;Sports_prop;Pop;Pop_prop;Blues;Blues_prop;Electro;Electro_prop;Rock français;Rock français_prop;Folk;Folk_prop;Soul contemporaine;Soul contemporaine_prop;Dub;Dub_prop;Chill Out/Trip-Hop/Lounge;Chill Out/Trip-Hop/Lounge_prop;Dance;Dance_prop;Musiques de jeux vidéo;Musiques de jeux vidéo_prop;Variété Internationale;Variété Internationale_prop;Soul vieille école;Soul vieille école_prop;Jazz instrumental;Jazz instrumental_prop;Country;Country_prop;Rock indé;Rock indé_prop;Dancefloor;Dancefloor_prop;Jeunesse;Jeunesse_prop;Classique;Classique_prop;Musiques de films;Musiques de films_prop;Disco;Disco_prop;Films/Jeux vidéo;Films/Jeux vidéo_prop;Hard Rock;Hard Rock_prop;Comédies musicales;Comédies musicales_prop;Alternative;Alternative_prop;Soul;Soul_prop;BO TV;BO TV_prop;Chanson française;Chanson française_prop;East Coast;East Coast_prop;R&B contemporain;R&B contemporain_prop;Spiritualité & religion;Spiritualité & religion_prop;Dancehall/Ragga;Dancehall/Ragga_prop;Jazz;Jazz_prop;Bolero;Bolero_prop;Pop internationale;Pop internationale_prop
0;1958;152;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;0.9;0;0.0;0;0.0;0;0.0;96;21.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;32;7.2;39;8.7;1;0.2;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;172;38.6;0;0.0;15;3.4;0;0.0;1;0.2;0;0.0;0;0.0;0;0.0;15;3.4;0;0.0;0;0.0;0;0.0;0;0.0;25;5.6;0;0.0;0;0.0;0;0.0;4;0.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;13;2.9;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;26;5.8;0;0.0;3;0.7
1;1959;148;0;0.0;0;0.0;3;0.2;0;0.0;0;0.0;0;0.0;2;0.1;0;0.0;6;0.4;0;0.0;0;0.0;0;0.0;299;22.2;0;0.0;0;0.0;0;0.0;0;0.0;2;0.1;83;6.2;108;8.0;4;0.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;0.2;0;0.0;464;34.5;16;1.2;22;1.6;0;0.0;10;0.7;0;0.0;0;0.0;1;0.1;33;2.5;0;0.0;0;0.0;0;0.0;0;0.0;77;5.7;0;0.0;0;0.0;5;0.4;30;2.2;15;1.1;0;0.0;14;1.0;0;0.0;0;0.0;1;0.1;65;4.8;3;0.2;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;71;5.3;0;0.0;6;0.4
2;1960;153;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;21;1.5;2;0.1;0;0.0;0;0.0;236;17.3;1;0.1;0;0.0;0;0.0;0;0.0;4;0.3;83;6.1;136;10.0;10;0.7;0;0.0;2;0.1;0;0.0;0;0.0;2;0.1;0;0.0;0;0.0;0;0.0;0;0.0;467;34.3;24;1.8;18;1.3;0;0.0;13;1.0;0;0.0;0;0.0;0;0.0;27;2.0;0;0.0;0;0.0;0;0.0;0;0.0;79;5.8;0;0.0;0;0.0;1;0.1;24;1.8;28;2.1;0;0.0;31;2.3;0;0.0;0;0.0;0;0.0;78;5.7;1;0.1;2;0.1;0;0.0;0;0.0;0;0.0;0;0.0;66;4.8;0;0.0;5;0.4
3;1961;153;0;0.0;0;0.0;0;0.0;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;31;2.1;0;0.0;0;0.0;2;0.1;277;19.1;6;0.4;0;0.0;0;0.0;0;0.0;1;0.1;54;3.7;169;11.6;8;0.6;0;0.0;1;0.1;2;0.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;445;30.6;47;3.2;27;1.9;0;0.0;9;0.6;0;0.0;0;0.0;0;0.0;56;3.9;0;0.0;0;0.0;0;0.0;0;0.0;82;5.6;0;0.0;0;0.0;2;0.1;25;1.7;20;1.4;0;0.0;21;1.4;0;0.0;0;0.0;3;0.2;95;6.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;67;4.6;0;0.0;1;0.1
4;1962;163;0;0.0;0;0.0;5;0.4;0;0.0;0;0.0;0;0.0;0;0.0;2;0.1;9;0.6;0;0.0;0;0.0;0;0.0;244;17.5;3;0.2;0;0.0;0;0.0;0;0.0;4;0.3;45;3.2;122;8.7;8;0.6;0;0.0;2;0.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;511;36.6;32;2.3;28;2.0;0;0.0;18;1.3;0;0.0;0;0.0;0;0.0;41;2.9;0;0.0;0;0.0;3;0.2;6;0.4;81;5.8;0;0.0;0;0.0;0;0.0;22;1.6;12;0.9;3;0.2;16;1.1;2;0.1;0;0.0;1;0.1;75;5.4;0;0.0;1;0.1;0;0.0;1;0.1;0;0.0;0;0.0;92;6.6;0;0.0;8;0.6
5;1963;157;0;0.0;0;0.0;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;3;0.2;28;2.0;0;0.0;0;0.0;0;0.0;250;18.3;2;0.1;0;0.0;0;0.0;0;0.0;4;0.3;50;3.7;166;12.1;9;0.7;4;0.3;2;0.1;0;0.0;2;0.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;490;35.8;26;1.9;22;1.6;0;0.0;15;1.1;0;0.0;0;0.0;0;0.0;21;1.5;0;0.0;1;0.1;4;0.3;0;0.0;56;4.1;1;0.1;0;0.0;6;0.4;11;0.8;13;0.9;0;0.0;17;1.2;0;0.0;0;0.0;3;0.2;89;6.5;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;61;4.5;0;0.0;12;0.9
6;1964;158;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;4;0.3;28;2.1;0;0.0;0;0.0;0;0.0;307;23.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;37;2.8;177;13.3;13;1.0;1;0.1;6;0.4;4;0.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;441;33.0;15;1.1;17;1.3;0;0.0;9;0.7;0;0.0;0;0.0;0;0.0;25;1.9;0;0.0;0;0.0;1;0.1;0;0.0;52;3.9;12;0.9;0;0.0;2;0.1;15;1.1;11;0.8;0;0.0;11;0.8;0;0.0;0;0.0;12;0.9;80;6.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;44;3.3;0;0.0;11;0.8
7;1965;160;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;0.2;20;1.5;0;0.0;0;0.0;0;0.0;303;23.3;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;13;1.0;165;12.7;6;0.5;0;0.0;0;0.0;2;0.2;0;0.0;0;0.0;0;0.0;0;0.0;4;0.3;0;0.0;485;37.2;19;1.5;1;0.1;0;0.0;17;1.3;2;0.2;0;0.0;0;0.0;3;0.2;0;0.0;1;0.1;10;0.8;0;0.0;67;5.1;6;0.5;0;0.0;3;0.2;5;0.4;13;1.0;3;0.2;13;1.0;0;0.0;0;0.0;6;0.5;106;8.1;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;25;1.9;0;0.0;2;0.2
8;1966;165;3;0.2;0;0.0;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;4;0.3;31;2.3;0;0.0;0;0.0;0;0.0;299;22.4;0;0.0;0;0.0;0;0.0;0;0.0;5;0.4;10;0.7;168;12.6;1;0.1;0;0.0;8;0.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;0.2;0;0.0;513;38.5;16;1.2;1;0.1;0;0.0;6;0.4;0;0.0;0;0.0;0;0.0;3;0.2;0;0.0;0;0.0;4;0.3;0;0.0;48;3.6;18;1.3;0;0.0;4;0.3;5;0.4;10;0.7;0;0.0;15;1.1;1;0.1;0;0.0;22;1.6;78;5.8;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;55;4.1;0;0.0;2;0.1
9;1967;170;1;0.1;0;0.0;5;0.4;2;0.2;0;0.0;0;0.0;0;0.0;6;0.5;32;2.4;3;0.2;0;0.0;0;0.0;273;20.9;0;0.0;0;0.0;0;0.0;0;0.0;1;0.1;8;0.6;191;14.6;7;0.5;0;0.0;0;0.0;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;9;0.7;0;0.0;493;37.7;7;0.5;0;0.0;0;0.0;5;0.4;0;0.0;0;0.0;0;0.0;1;0.1;0;0.0;0;0.0;0;0.0;0;0.0;36;2.8;28;2.1;0;0.0;1;0.1;2;0.2;9;0.7;0;0.0;10;0.8;0;0.0;0;0.0;34;2.6;101;7.7;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;40;3.1;0;0.0;1;0.1
