;title;artist;genres;duration;explicit_content
0;Sir Duke;Stevie Wonder;['Pop'];232.0;0.0
1;I'm Your Boogie Man;KC And The Sunshine Band;['Pop'];241.0;0.0
2;Dreams;Fleetwood Mac;['Rock'];257.0;0.0
3;Got To Give It Up (Pt. I);Marvin Gaye;[];;
4;Gonna Fly Now;Bill Conti;['Pop'];168.0;0.0
5;Couldn't Get It Right;Climax Blues Band;['Rock', 'Blues'];198.0;0.0
6;Lucille;Kenny Rogers;['Country'];221.0;0.0
7;Lonely Boy;Andrew Gold;['Pop'];264.0;0.0
8;Feels Like The First Time;Foreigner;['Rock', 'Hard Rock'];192.0;0.0
9;When I Need You;Leo Sayer;['Pop'];250.0;0.0
10;Undercover Angel;Alan O'Day;['Pop'];211.0;0.0
11;Angel In Your Arms;Hot;['R&B', 'Soul & Funk', 'Soul'];179.0;0.0
12;Hotel California;Eagles;['Rock'];391.0;0.0
13;Ain't Gonna Bump No More (with No Big Fat Woman);Joe Tex;['Rock'];401.0;0.0
14;Heard It In A Love Song;The Marshall Tucker Band;['Rock'];295.0;0.0
15;Jet Airliner;The Steve Miller Band;['Rock'];261.0;0.0
16;Hello Stranger;Yvonne Elliman;['Pop'];188.0;0.0
17;Southern Nights;Glen Campbell;['Country'];180.0;0.0
18;Life In The Fast Lane;Eagles;['Rock'];286.0;0.0
19;Looks Like We Made It;Barry Manilow;['Pop'];214.0;0.0
20;Margaritaville;Jimmy Buffett;['Country'];255.0;0.0
21;Whodunit;Tavares;['Rap/Hip Hop'];216.0;0.0
22;Slow Dancin' Don't Turn Me On;Addrisi Brothers;[];;
23;Mainstreet;Bob Seger;['Rock'];223.0;0.0
24;Uptown Festival (Part 1);Shalamar;[];;
25;Do You Wanna Make Love;Peter Mccann;['Alternative'];211.0;0.0
26;High School Dance;The Sylvers;['R&B'];229.0;0.0
27;Love's Grown Deep;Kenny Nolan;['Pop'];239.0;0.0
28;Ariel;Dean Friedman;['Rock'];264.0;0.0
29;My Heart Belongs To Me;Barbra Streisand;['Pop', 'Pop internationale', 'Rock'];201.0;0.0
30;Back Together Again;Daryl Hall John Oates;['Pop'];205.0;0.0
31;I Just Want To Be Your Everything;Andy Gibb;['Pop'];226.0;0.0
32;Da Doo Ron Ron;Shaun Cassidy;['Pop'];170.0;0.0
33;"Gonna Fly Now (Theme From ""Rocky"")";Maynard Ferguson;[];;
34;Slowdown;John Miles;['Rock'];254.0;0.0
35;Lido Shuffle;Boz Scaggs;['Pop'];223.0;0.0
36;Hollywood;Rufus Featuring Chaka Khan;['Pop'];251.0;0.0
37;Knowing Me, Knowing You;ABBA;['Pop'];241.0;0.0
38;This Is The Way That I Feel;Marie Osmond;[];;
39;Spirit In The Night;Manfred Mann's Earth Band;['Rock', 'Rock & Roll/Rockabilly'];387.0;0.0
40;Whatcha Gonna Do?;Pablo Cruise;['Pop'];256.0;0.0
41;Luckenbach, Texas (Back To The Basics Of Love);Waylon Jennings;['Country'];200.0;0.0
42;(Your Love Has Lifted Me) Higher And Higher;Rita Coolidge;['Rock'];241.0;0.0
43;It's Sad To Belong;England Dan & John Ford Coley;['Rock'];173.0;0.0
44;Peace Of Mind;Boston;['Rock'];303.0;0.0
45;You And Me;Alice Cooper;['Rock', 'Hard Rock'];306.0;0.0
46;You're My World;Helen Reddy;['Pop'];163.0;0.0
47;Do What You Wanna Do;T-Connection;['R&B'];210.0;0.0
48;I'm In You;Peter Frampton;['Rock'];251.0;0.0
49;You're Movin' Out Today;Bette Midler;[];;
50;On The Border;Al Stewart;['Rock'];202.0;0.0
51;Right Time Of The Night;Jennifer Warnes;['Pop'];173.0;0.0
52;Calling Dr. Love;KISS;['Rock'];227.0;0.0
53;I've Got Love On My Mind;Natalie Cole;['Livres audio'];262.0;0.0
54;All You Get From Love Is A Love Song;Carpenters;['Pop'];226.0;0.0
55;Going In With My Eyes Open;David Soul;['Pop'];242.0;0.0
56;So In To You;Atlanta Rhythm Section;['Rock'];404.0;0.0
57;I Wanna Get Next To You;Rose Royce;['Rap/Hip Hop', 'Disco', 'Soul & Funk', 'Soul'];242.0;0.0
58;Everybody Be Dancin';Starbuck;['Pop'];229.0;0.0
59;The Pretender;Jackson Browne;['Pop'];351.0;0.0
60;Show You The Way To Go;The Jacksons;['Pop', 'R&B'];327.0;0.0
61;Watch Closely Now;Kris Kristofferson;['Pop'];229.0;0.0
62;The Pride (Part I);The Isley Brothers;[];;
63;I Gotta Keep Dancin';Carrie;['R&B'];307.0;0.0
64;People In Love;10cc;['Pop'];228.0;0.0
65;It Feels So Good To Be Loved So Bad;The Manhattans;['Pop'];277.0;0.0
66;Dancin' Man;Q;[];;
67;Don't Give Up On Us;David Soul;['Pop'];219.0;0.0
68;You Made Me Believe In Magic;Bay City Rollers;['Pop'];162.0;0.0
69;Runaway;Bonnie Raitt;['Pop', 'Rock', 'Blues'];235.0;0.0
70;This Girl (Has Turned Into A Woman);Mary Macgregor;['Pop'];206.0;0.0
71;Barracuda;Heart;['Rock'];261.0;0.0
72;Just A Song Before I Go;Crosby, Stills & Nash;['Rock'];133.0;0.0
73;I Don't Love You Anymore;Teddy Pendergrass;['Pop'];238.0;0.0
74;Amarillo;Neil Sedaka;['Pop'];303.0;0.0
75;Can't Stop Dancin';Captain & Tennille;['Pop'];222.0;0.0
76;Give A Little Bit;Supertramp;['Rock'];248.0;0.0
77;Easy;Commodores;['Pop'];256.0;0.0
78;Fly At Night;Chilliwack;['Pop', 'Pop internationale', 'Variété Internationale', 'Rock'];295.0;0.0
79;Neon Nites;Atlanta Rhythm Section;['Pop'];237.0;0.0
80;Burnin' Sky;Bad Company;['Rock', 'Hard Rock'];310.0;0.0
81;If It's The Last Thing I Do;Thelma Houston;['Pop'];185.0;0.0
82;Devil's Gun;C.J. & Company;[];;
83;The Killing Of Georgie (Part I And II);Rod Stewart;['Pop'];379.0;0.0
84;Telephone Man;Meri Wilson;['Pop'];118.0;0.0
85;I Need A Man;Grace Jones;['Disco'];205.0;0.0
86;Don't Turn The Light Out;Cliff Richard;['Rock'];200.0;0.0
87;On And On;Stephen Bishop;['Pop'];181.0;0.0
88;So High (rock Me Baby And Roll Me Away);Dave Mason;['Rock'];248.0;0.0
89;Lose Again;Linda Ronstadt;['Pop'];214.0;0.0
