;title;artist;genres;duration;explicit_content
0;Bette Davis Eyes;Kim Carnes;['Pop'];225.0;0.0
1;Endless Love;Diana Ross & Lionel Richie;['Pop'];267.0;0.0
2;Jessie's Girl;Rick Springfield;['Rock'];195.0;0.0
3;I Love A Rainy Night;Eddie Rabbitt;['Country', 'Pop'];189.0;0.0
4;Celebration;Kool & The Gang;['Pop'];190.0;0.0
5;Rapture;Blondie;['Pop'];299.0;0.0
6;(Just Like) Starting Over;John Lennon;['Rock'];236.0;0.0
7;Morning Train (Nine To Five);Sheena Easton;['Pop'];197.0;0.0
8;Private Eyes;Daryl Hall John Oates;['Pop'];217.0;0.0
9;Woman;John Lennon;['Rock'];212.0;0.0
10;Being With You;Smokey Robinson;['R&B'];246.0;0.0
11;The One That You Love;Air Supply;['Alternative'];223.0;0.0
12;Arthur's Theme (Best That You Can Do);Christopher Cross;['Pop'];234.0;0.0
13;9 To 5;Dolly Parton;['Country'];162.0;0.0
14;Just The Two Of Us;Grover Washington, Jr. With Bill Withers;[];;
15;Slow Hand;The Pointer Sisters;['Pop'];231.0;0.0
16;The Tide Is High;Blondie;['Rock'];280.0;0.0
17;Stop Draggin' My Heart Around;Stevie Nicks With Tom Petty And The Heartbreakers;['Rock'];244.0;0.0
18;All Those Years Ago;George Harrison;['Rock'];227.0;0.0
19;Start Me Up;The Rolling Stones;['Rock'];213.0;0.0
20;The Best Of Times;Styx;['Rock'];258.0;0.0
21;"Theme From ""Greatest American Hero"" (Believe It or Not)";Joey Scarbury;['Pop'];194.0;0.0
22;Kiss On My List;Daryl Hall John Oates;['Pop', 'Rock'];235.0;0.0
23;Medley;Stars On 45;['Pop'];233.0;0.0
24;Keep On Loving You;REO Speedwagon;['Pop'];201.0;0.0
25;More Than I Can Say;Leo Sayer;['Pop'];218.0;0.0
26;(There's) No Gettin' Over Me;Ronnie Milsap;['Country'];199.0;0.0
27;Queen Of Hearts;Juice Newton;['Country'];207.0;0.0
28;Urgent;Foreigner;['Rock', 'Hard Rock'];271.0;0.0
29;I Don't Need You;Kenny Rogers;['Country'];206.0;0.0
30;Who's Crying Now;Journey;['Pop', 'Rock'];301.0;0.0
31;Sukiyaki;A Taste Of Honey;['R&B'];223.0;0.0
32;Elvira;The Oak Ridge Boys;['Country'];174.0;0.0
33;Crying;Don McLean;['Pop'];222.0;0.0
34;Love On The Rocks;Neil Diamond;['Pop'];216.0;0.0
35;Angel Of The Morning;Juice Newton;['Country'];254.0;0.0
36;For Your Eyes Only;Sheena Easton;['Pop'];184.0;0.0
37;A Woman Needs Love (Just Like You Do);Ray Parker Jr. & Raydio;['Pop', 'R&B'];246.0;0.0
38;You Make My Dreams;Daryl Hall John Oates;['Pop'];190.0;0.0
39;Take It On The Run;REO Speedwagon;['Pop'];239.0;0.0
40;Passion;Rod Stewart;['Pop', 'Rock'];332.0;0.0
41;Living Inside Myself;Gino Vannelli;['Pop'];263.0;0.0
42;Every Woman In The World;Air Supply;['Pop'];209.0;0.0
43;Hello Again;Neil Diamond;['Pop'];243.0;0.0
44;While You See A Chance;Steve Winwood;['Alternative', 'Rock'];315.0;0.0
45;Step By Step;Eddie Rabbitt;['Country'];220.0;0.0
46;Lady;Kenny Rogers;['Country'];232.0;0.0
47;The Winner Takes It All;ABBA;['Pop'];295.0;0.0
48;Boy From New York City;The Manhattan Transfer;['Jazz'];222.0;0.0
49;Lady (You Bring Me Up);Commodores;['Pop'];289.0;0.0
50;Giving It Up For Your Love;Delbert McClinton;['Country'];226.0;0.0
51;The Night Owls;Little River Band;['Rock'];322.0;0.0
52;Hearts;Marty Balin;['Rock'];258.0;0.0
53;Hungry Heart;Bruce Springsteen;['Rock'];199.0;0.0
54;Tryin' To Live My Life Without You;Bob Seger;['Rock'];247.0;0.0
55;America;Neil Diamond;['Pop'];258.0;0.0
56;I Can't Stand It;Eric Clapton And His Band;[];;
57;Don't Stand So Close To Me;The Police;['Rock'];242.0;0.0
58;Hard To Say;Dan Fogelberg;['Pop'];239.0;0.0
59;Sweetheart;Franke & The Knockouts;['Pop', 'Rock'];251.0;0.0
60;I Love You;Climax Blues Band;['Pop', 'Rock'];246.0;0.0
61;This Little Girl;Gary U.S. Bonds;['Rock'];222.0;0.0
62;Guilty;Barbra Streisand & Barry Gibb;['Pop'];264.0;0.0
