;title;artist;genres;duration;pays;explicit_content
0;Retiens la nuit;Johnny Hallyday;['Pop'];173;France;0
1;J'entends siffler le train;Richard Anthony;['Pop'];203;Égypte;0
2;Le lion est mort ce soir;Henri Salvador;['Pop'];165;France;0
3;Fiche le camp, Jack;Richard Anthony;['Pop'];113;Égypte;0
4;Tous les garçons et les filles;Francoise Hardy;['Chanson française'];187;France;0
5;Twist SNCF;Henri Salvador;['Pop'];141;France;0
6;L'idole des jeunes;Johnny Hallyday;['Pop'];148;France;0
7;Serre la main d'un fou;Johnny Hallyday;['Classique', 'Rock'];160;France;0
8;Un mexicain;Marcel Amont;['Pop'];205;93 ansBordeauxFrance;0
9;Twist à Saint-Tropez;Les Chats Sauvages;['Pop'];104;ice,Alpes-Maritimes,France;0
10;Baby John;Dick Rivers;['Rock'];158;France;0
11;Est-ce que tu le sais;Sylvie Vartan;['Pop'];168;Bulgarie;0
12;Les bourgeois;Jacques Brel;['Pop'];175;Belgique;0
13;A London;Petula Clark;['Pop'];153;Angleterre;0
14;Good luck charm;Elvis Presley;['Pop'];145;États-Unis;0
15;Chariot;Petula Clark;['Pop'];154;Angleterre;0
16;Pas cette chanson;Johnny Hallyday;['Pop'];169;France;0
17;Multiplication;Lucky Blondo;['Pop', 'Rock'];131;78 ansParis;0
18;Le loco-motion;Sylvie Vartan;['Pop'];138;Bulgarie;0
19;Sheila;Lucky Blondo;['Rock'];119;78 ansParis;0
20;Je reviendrai bientôt;Les Chaussettes Noires;['Pop'];145;réteil,Val-de-Marne,France;0
21;J'irai twister le blues;Richard Anthony;['Rock'];160;Égypte;0
22;Let's twist again;Richard Anthony;['Pop'];136;Égypte;0
23;L'amour que j'ai pour toi;Les Chats Sauvages;['Classique', 'Rock'];153;ice,Alpes-Maritimes,France;0
24;Les comédiens;Charles Aznavour;['Pop'];141;France;0
25;Can't help falling in love;Elvis Presley;['Pop'];182;États-Unis;0
26;Romeo;Petula Clark;['Pop'];160;Angleterre;0
27;Un clair de lune à Maubeuge;Pierre Perrin;['Pop'];217;Inconnue;0
28;I can't stop loving you;Ray Charles;['Jazz'];251;États-Unis;0
29;I got a woman;Johnny Hallyday;['Pop', 'Rock'];312;France;0
30;Sidonie;Brigitte Bardot;['Pop'];173;France;0
31;The wanderer;Dion;['Rock'];163;Inconnue;0
32;Telstar;Tornados;['Pop'];198;Inconnue;0
33;The loco-motion;Little Eva;['Pop'];145;CarolineduNord;0
34;Santiano;Hugues Aufray;['Pop'];134;France;0
35;Derniers baisers;Les Chats Sauvages;['Pop'];147;ice,Alpes-Maritimes,France;0
36;Peppermint twist;Les Chaussettes Noires;['Pop'];167;réteil,Val-de-Marne,France;0
37;Ya ya twist;Petula Clark;['Pop'];132;Angleterre;0
38;Dans l'eau de la claire fontaine;Georges Brassens;['Pop'];134;France;0
39;Runaround Sue;Dion;[];153;Inconnue;0
40;The lion sleeps tonight;The Tokens;['Pop'];161;Inconnue;0
41;Bye bye love;Ray Charles;['Jazz'];128;États-Unis;0
42;Pour une amourette;Lenny Escudero;['Pop'];134;Inconnue;0
43;Je reviendrai;Les Chats Sauvages;['Pop'];158;ice,Alpes-Maritimes,France;0
44;Shadoogie;The Shadows;['Rock'];145;heshunt;0
45;Orange blossom special;Spotnicks;['Rock', 'Rock Indé/Pop Rock'];135;Inconnue;0
46;Quand le film est triste;Sylvie Vartan;['Pop'];181;Bulgarie;0
47;Délivre-moi;Richard Anthony;['Chanson française'];168;Égypte;0
48;Le plat pays;Jacques Brel;['Pop'];166;Belgique;0
49;Oh lady;Les Chats Sauvages;['Pop'];157;ice,Alpes-Maritimes,France;0
